path,etag,lastmodified,Allow
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/media/index.html,2021-10-26 22:34:39.24989522:34:39ce0eaaa9-367e-11ec-82cd-77787e8aa375,2021-10-26 22:34:39.24989522:34:39,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/3b5e5d5e-4595-11ec-94ff-5fb05b379f3d.json,2021-11-15 03:22:59.01299003:22:593b5e5d5f-4595-11ec-94ff-5fb05b379f3d,2021-11-15 03:22:59.01299003:22:59,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/223b2d78-4597-11ec-94ff-5fb05b379f3d/,2021-11-15 03:36:35.83307403:36:35223b2d79-4597-11ec-94ff-5fb05b379f3d,2021-11-15 03:36:35.83307403:36:35,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/9f439918-4597-11ec-94ff-5fb05b379f3d/,2021-11-15 03:40:05.70452303:40:059f439919-4597-11ec-94ff-5fb05b379f3d,2021-11-15 03:40:05.70452303:40:05,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/6076fc14-4599-11ec-94ff-5fb05b379f3d/,2021-11-15 03:52:39.33656603:52:396076fc15-4599-11ec-94ff-5fb05b379f3d,2021-11-15 03:52:39.33656603:52:39,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/2ced9db6-459a-11ec-94ff-5fb05b379f3d/,2021-11-15 03:58:22.40473703:58:222ced9db7-459a-11ec-94ff-5fb05b379f3d,2021-11-15 03:58:22.40473703:58:22,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/89d2c32a-459b-11ec-94ff-5fb05b379f3d.json,2021-11-15 04:08:07.61846004:08:0789d2c32b-459b-11ec-94ff-5fb05b379f3d,2021-11-15 04:08:07.61846004:08:07,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/89d3787e-459b-11ec-94ff-5fb05b379f3d/,2021-11-15 04:08:07.67499504:08:0789d3787f-459b-11ec-94ff-5fb05b379f3d,2021-11-15 04:08:07.67499504:08:07,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/89dc36b2-459b-11ec-94ff-5fb05b379f3d/,2021-11-15 04:08:07.72391604:08:0789dc36b3-459b-11ec-94ff-5fb05b379f3d,2021-11-15 04:08:07.72391604:08:07,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/bea62a10-459b-11ec-94ff-5fb05b379f3d.json,2021-11-15 04:09:36.24550104:09:36bea62a11-459b-11ec-94ff-5fb05b379f3d,2021-11-15 04:09:36.24550104:09:36,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/bea70b88-459b-11ec-94ff-5fb05b379f3d/,2021-11-15 04:09:36.31148204:09:36bea70b89-459b-11ec-94ff-5fb05b379f3d,2021-11-15 04:09:36.31148204:09:36,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/beb14468-459b-11ec-94ff-5fb05b379f3d/,2021-11-15 04:09:36.37195904:09:36beb14469-459b-11ec-94ff-5fb05b379f3d,2021-11-15 04:09:36.37195904:09:36,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/83f82728-459c-11ec-94ff-5fb05b379f3d.json,2021-11-15 04:15:07.29393004:15:0783f82729-459c-11ec-94ff-5fb05b379f3d,2021-11-15 04:15:07.29393004:15:07,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/83f90df0-459c-11ec-94ff-5fb05b379f3d/,2021-11-15 04:15:07.36614004:15:0783f90df1-459c-11ec-94ff-5fb05b379f3d,2021-11-15 04:15:07.36614004:15:07,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/840455ca-459c-11ec-94ff-5fb05b379f3d/,2021-11-15 04:15:07.45010804:15:07840455cb-459c-11ec-94ff-5fb05b379f3d,2021-11-15 04:15:07.45010804:15:07,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/bd5e6b62-459c-11ec-94ff-5fb05b379f3d.json,2021-11-15 04:16:43.59425604:16:43bd5e6b63-459c-11ec-94ff-5fb05b379f3d,2021-11-15 04:16:43.59425604:16:43,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/bd5f372c-459c-11ec-94ff-5fb05b379f3d/,2021-11-15 04:16:43.65473104:16:43bd5f372d-459c-11ec-94ff-5fb05b379f3d,2021-11-15 04:16:43.65473104:16:43,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/bd68514a-459c-11ec-94ff-5fb05b379f3d/,2021-11-15 04:16:43.73187704:16:43bd68514b-459c-11ec-94ff-5fb05b379f3d,2021-11-15 04:16:43.73187704:16:43,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/028b58b2-459d-11ec-94ff-5fb05b379f3d.json,2021-11-15 04:18:39.65142904:18:39028b58b3-459d-11ec-94ff-5fb05b379f3d,2021-11-15 04:18:39.65142904:18:39,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/028c2de6-459d-11ec-94ff-5fb05b379f3d/,2021-11-15 04:18:39.71665304:18:39028c2de7-459d-11ec-94ff-5fb05b379f3d,2021-11-15 04:18:39.71665304:18:39,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/02964ce0-459d-11ec-94ff-5fb05b379f3d/,2021-11-15 04:18:39.80304204:18:3902964ce1-459d-11ec-94ff-5fb05b379f3d,2021-11-15 04:18:39.80304204:18:39,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/30b00c9c-459d-11ec-94ff-5fb05b379f3d.json,2021-11-15 04:19:57.06733804:19:5730b00c9d-459d-11ec-94ff-5fb05b379f3d,2021-11-15 04:19:57.06733804:19:57,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/30b0dc94-459d-11ec-94ff-5fb05b379f3d/,2021-11-15 04:19:57.13910704:19:5730b0dc95-459d-11ec-94ff-5fb05b379f3d,2021-11-15 04:19:57.13910704:19:57,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/30bc4ade-459d-11ec-94ff-5fb05b379f3d/,2021-11-15 04:19:57.18258404:19:5730bc4adf-459d-11ec-94ff-5fb05b379f3d,2021-11-15 04:19:57.18258404:19:57,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/5f729fd6-459d-11ec-94ff-5fb05b379f3d.json,2021-11-15 04:21:15.51769004:21:155f729fd7-459d-11ec-94ff-5fb05b379f3d,2021-11-15 04:21:15.51769004:21:15,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/5f738662-459d-11ec-94ff-5fb05b379f3d/,2021-11-15 04:21:15.52355404:21:155f738663-459d-11ec-94ff-5fb05b379f3d,2021-11-15 04:21:15.52355404:21:15,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/5f743882-459d-11ec-94ff-5fb05b379f3d/,2021-11-15 04:21:15.52814204:21:155f743883-459d-11ec-94ff-5fb05b379f3d,2021-11-15 04:21:15.52814204:21:15,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/91798f4e-459d-11ec-94ff-5fb05b379f3d.json,2021-11-15 04:22:39.44930804:22:3991798f4f-459d-11ec-94ff-5fb05b379f3d,2021-11-15 04:22:39.44930804:22:39,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/917a9cc2-459d-11ec-94ff-5fb05b379f3d/,2021-11-15 04:22:39.45612904:22:39917a9cc3-459d-11ec-94ff-5fb05b379f3d,2021-11-15 04:22:39.45612904:22:39,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/917b72f0-459d-11ec-94ff-5fb05b379f3d/,2021-11-15 04:22:39.46166904:22:39917b72f1-459d-11ec-94ff-5fb05b379f3d,2021-11-15 04:22:39.46166904:22:39,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/ce5166bc-459d-11ec-94ff-5fb05b379f3d.json,2021-11-15 04:24:21.52711204:24:21ce5166bd-459d-11ec-94ff-5fb05b379f3d,2021-11-15 04:24:21.52711204:24:21,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/ce526bf2-459d-11ec-94ff-5fb05b379f3d/,2021-11-15 04:24:21.53403204:24:21ce526bf3-459d-11ec-94ff-5fb05b379f3d,2021-11-15 04:24:21.53403204:24:21,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/ce536bba-459d-11ec-94ff-5fb05b379f3d/,2021-11-15 04:24:21.54074804:24:21ce536bbb-459d-11ec-94ff-5fb05b379f3d,2021-11-15 04:24:21.54074804:24:21,"GET ,PUT , DELETE"
